"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
133,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years",NA
135,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles"
136,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
137,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
138,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
139,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
140,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
141,"Woman","This does not apply to me","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
142,"Woman","Assistant Professor","Non-STEM","In the last year","6-10 years",NA
143,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
144,"Man","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles"
145,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
146,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
147,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
148,"Man","Associate Professor","Non-STEM","This year","More than 10 years",NA
149,"Man","Full Professor","Non-STEM","In the last year","More than 10 years",NA
150,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
151,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
152,"Man","PhD student","Non-STEM","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
153,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
154,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
155,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
156,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","1-2 articles"
157,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
158,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
159,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
160,"Prefer not to say","PhD student","Non-STEM","In the last year","6-10 years","More than 4 articles"
161,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
162,"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
163,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
164,"Man","Associate Professor","Non-STEM","In the last 10 years","6-10 years",NA
165,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
166,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","1-2 articles"
167,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles"
168,"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
169,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
170,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","In the last year","1-5 years","3-4 articles"
171,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
172,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
173,"Man","Associate Professor","Non-STEM","This year","More than 10 years",NA
174,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
175,"Man","Full Professor","Non-STEM","In the last year","More than 10 years",NA
176,"Man","This does not apply to me","Non-STEM","This year","6-10 years",NA
177,"Man","PhD student","Non-STEM","This year","1-5 years","3-4 articles"
